Time,Dealer,Multiplier,Result,Total_Winners,Total_Payout
35.66x,26.84x,35.02x,33.39x,28.57x,33.97x
25.69x,25.82x,38.02x,38.26x,25.39x,37.07x
37.84x,35.85x,23.51x,25.67x,27.74x,26.59x
32.08x,28.23x,32.39x,23.59x,23.61x,30.79x
38.66x,32.61x,35.92x,30.72x,34.43x,28.48x
32.11x,36.79x,31.57x,23.75x,21.61x,29.69x
30.46x,30.28x,38.25x,34.56x,34.41x,22.20x
27.80x,38.51x,30.36x,26.67x,28.49x,40.69x
30.92x,33.90x,31.39x,35.57x,28.44x,33.74x
27.85x,34.08x,30.77x,27.93x,31.61x,45.72x
28.74x,27.56x,28.07x,29.72x,28.77x,34.92x
